imdb,Duration,streamings,tmdb,Age,popularity,Title,Year
6.1,92,| Movistar |,6.1,0,11.714,M.F.A. ,2017
8.5,110,| Filmin | Amazon |,8.2,7,6.327,La sal de la tierra ,2014
6.8,76,| Filmin |,6.4,16,3.889,Amante por un día ,2017
7.2,95,| FlixOLE |,5.7,0,0.912,Tasio ,1984
6.2,91,| Filmin |,6.6,0,2.881,Shock (Suspense) ,1973
7.5,96,| Filmin |,7.7,0,6.234,Semáforo rojo (Cani arrabbiati) ,1974
7.3,84,| Filmin |,7,0,5.875,Otra mujer ,1988
7.6,112,| Filmin |,7.3,0,11.32,"Europa, Europa ",1990
7.2,114,| Movistar |,6.8,0,11.741,Persiguiendo a Amy ,1997
6.6,95,| Filmin |,6.4,0,1.792,Todo va bien ,1972
5.4,90,| Filmin | Amazon |,5.6,16,21.074,Blanco perfecto (Downrange) ,2018
7.1,111,| Filmin |,5.9,0,2.744,"La pelota vasca, la piel contra la piedra ",2003
6.9,110,| Netflix |,6.4,0,11.827,The Meyerowitz Stories ,2017
7.4,118,| Amazon |,7.2,7,13.195,Man on the Moon ,1999
8.3,90,| Netflix |,7.9,0,8.777,Cowspiracy: The Sustainability Secret ,2014
7.5,100,| Amazon |,7.5,18,26.959,Upgrade (Ilimitado) ,2018
6.2,108,| Filmin |,5.8,0,1.477,Obra 67 ,2014
7.4,120,| Netflix |,7.5,16,6.425,Mudbound ,2017
6.6,98,| Filmin |,6.5,16,8.407,Experimenter: La historia de Stanley Milgram ,2015
6.3,102,| Netflix |,5.9,16,23.449,1922 ,2017
8.1,98,| Filmin | HBO |,7.6,12,20.072,La princesa prometida ,1987
6.9,112,| Movistar |,6.6,18,19.12,Superfumados (Pineapple Express) ,2008
7.1,102,| Filmin | Netflix |,7.5,18,7.943,La ley del deseo ,1987
7.2,97,| Filmin |,7,0,5.719,El declive del imperio americano ,1986
7.3,112,| Netflix | FlixOLE |,7.2,18,19.498,Malas calles ,1973
7.3,120,| Filmin |,7.4,0,6.689,Dios y el diablo en la tierra del sol ,1964
6,98,| DisneyPlus |,5.8,APTA,11.428,El abismo negro ,1979
7.8,165,| Filmin |,7.8,0,5.191,La tierra tiembla ,1948
7.5,139,| Filmin | Amazon |,6.9,0,7.988,Danton ,1983
6.4,93,| Filmin |,6.3,0,3.307,La garra de Satán ,1971
6.5,88,| Filmin |,6.3,0,1.451,Encuentro mortal ,1976
6.2,111,| Netflix |,6.1,16,21.395,Los despiadados ,2019
8.1,170,| Filmin |,7.7,0,18.002,Underground ,1995
7.9,79,| Amazon |,7.7,0,12.499,Ernest & Célestine ,2012
7.4,100,| Filmin |,7.4,0,12.667,Los duelistas ,1977
7.2,82,| Movistar |,7.3,12,4.328,Buñuel en el laberinto de las tortugas ,2019
